시군,시도,용도지역구분,용도지역,건폐율_값,건폐율_단위,건폐율_출처조문,용적률_값,용적률_단위,용적률_출처조문,시행일,조례번호,조회일
거창군,경남,도시지역-공업,준공업지역,70,% 이하,제53조제1항,350,% 이하,제58조제1항,2025.12.31,3010,2026-09-21
거창군,경남,도시지역-녹지,보전녹지지역,20,% 이하,제53조제1항,50,% 이하,제58조제1항,2025.12.31,3010,2026-09-21
거창군,경남,도시지역-녹지,생산녹지지역,20,% 이하,제53조제1항,80,% 이하,제58조제1항,2025.12.31,3010,2026-09-21
거창군,경남,도시지역-녹지,자연녹지지역,20,% 이하,제53조제1항,80,% 이하,제58조제1항,2025.12.31,3010,2026-09-21
거창군,경남,관리지역,보전관리지역,20,% 이하,제53조제1항,80,% 이하,제58조제1항,2025.12.31,3010,2026-09-21
거창군,경남,관리지역,생산관리지역,20,% 이하,제53조제1항,80,% 이하,제58조제1항,2025.12.31,3010,2026-09-21
거창군,경남,관리지역,계획관리지역,40,% 이하,제53조제1항,100,% 이하,제58조제1항,2025.12.31,3010,2026-09-21
거창군,경남,농림지역,농림지역,20,% 이하,제53조제1항,80,% 이하,제58조제1항,2025.12.31,3010,2026-09-21
거창군,경남,자연환경보전지역,자연환경보전지역,20,% 이하,제53조제1항,80,% 이하,제58조제1항,2025.12.31,3010,2026-09-21
합천군,경남,도시지역-주거,제1종전용주거지역,50,% 이하,제53조제1항,100,% 이하,제58조제1항,2026.4.16,2930,2026-09-21
합천군,경남,도시지역-주거,제2종전용주거지역,50,% 이하,제53조제1항,150,% 이하,제58조제1항,2026.4.16,2930,2026-09-21
합천군,경남,도시지역-주거,제1종일반주거지역,60,% 이하,제53조제1항,200,% 이하,제58조제1항,2026.4.16,2930,2026-09-21
합천군,경남,도시지역-주거,제2종일반주거지역,60,% 이하,제53조제1항,250,% 이하,제58조제1항,2026.4.16,2930,2026-09-21
합천군,경남,도시지역-주거,제3종일반주거지역,50,% 이하,제53조제1항,300,% 이하,제58조제1항,2026.4.16,2930,2026-09-21
합천군,경남,도시지역-주거,준주거지역,70,% 이하,제53조제1항,500,% 이하,제58조제1항,2026.4.16,2930,2026-09-21
합천군,경남,도시지역-상업,중심상업지역,80,% 이하,제53조제1항,900,% 이하,제58조제1항,2026.4.16,2930,2026-09-21
합천군,경남,도시지역-상업,일반상업지역,80,% 이하,제53조제1항,800,% 이하,제58조제1항,2026.4.16,2930,2026-09-21
합천군,경남,도시지역-상업,근린상업지역,70,% 이하,제53조제1항,600,% 이하,제58조제1항,2026.4.16,2930,2026-09-21
합천군,경남,도시지역-상업,유통상업지역,80,% 이하,제53조제1항,700,% 이하,제58조제1항,2026.4.16,2930,2026-09-21
합천군,경남,도시지역-공업,전용공업지역,70,% 이하,제53조제1항,300,% 이하,제58조제1항,2026.4.16,2930,2026-09-21
합천군,경남,도시지역-공업,일반공업지역,70,% 이하,제53조제1항,350,% 이하,제58조제1항,2026.4.16,2930,2026-09-21
합천군,경남,도시지역-공업,준공업지역,70,% 이하,제53조제1항,400,% 이하,제58조제1항,2026.4.16,2930,2026-09-21
합천군,경남,도시지역-녹지,보전녹지지역,20,% 이하,제53조제1항,60,% 이하,제58조제1항,2026.4.16,2930,2026-09-21
합천군,경남,도시지역-녹지,생산녹지지역,20,% 이하,제53조제1항,80,% 이하,제58조제1항,2026.4.16,2930,2026-09-21
합천군,경남,도시지역-녹지,자연녹지지역,20,% 이하,제53조제1항,100,% 이하,제58조제1항,2026.4.16,2930,2026-09-21
합천군,경남,관리지역,보전관리지역,20,% 이하,제53조제1항,80,% 이하,제58조제1항,2026.4.16,2930,2026-09-21
합천군,경남,관리지역,생산관리지역,20,% 이하,제53조제1항,80,% 이하,제58조제1항,2026.4.16,2930,2026-09-21
합천군,경남,관리지역,계획관리지역,40,% 이하,제53조제1항,100,% 이하,제58조제1항,2026.4.16,2930,2026-09-21
합천군,경남,농림지역,농림지역,20,% 이하,제53조제1항,80,% 이하,제58조제1항,2026.4.16,2930,2026-09-21
합천군,경남,자연환경보전지역,자연환경보전지역,20,% 이하,제53조제1항,80,% 이하,제58조제1항,2026.4.16,2930,2026-09-21
부천시,경기,도시지역-주거,제1종전용주거지역,50,% 이하,제54조제1항,100,% 이하,제57조제1항,2026.7.6,4327,2026-09-21
