시군,시도,시행일,조례번호,출처조문,상태,수집현황
신안군,전남,2026.8.14,2884,제50조 / 제55조,수집,건폐 21종 / 용적 21종
포항시,경북,2026.1.7,2332,제25조 / 제26조,수집,건폐 21종 / 용적 21종
경주시,경북,2025.7.15,1912,제81조 / 제86조,수집,건폐 21종 / 용적 21종
김천시,경북,2026.2.26,1696,제59조 / 제64조,수집,건폐 21종 / 용적 21종
안동시,경북,2026.1.20,2298,제52조 / 제58조,수집,건폐 21종 / 용적 21종
구미시,경북,2026.7.8,2117,제59조 / 제64조,수집,건폐 21종 / 용적 21종
영주시,경북,2025.12.29,1701,제53조 / 제58조,수집,건폐 21종 / 용적 21종
영천시,경북,2024.12.27,1342,제56조 / 제62조,수집,건폐 21종 / 용적 21종
상주시,경북,2026.3.24,1771,제52조 / 제57조,수집,건폐 21종 / 용적 21종
문경시,경북,2025.12.30,1822,제55조 / 제60조,수집,건폐 21종 / 용적 21종
경산시,경북,2026.1.7,1636,제79조 / 제84조,수집,건폐 21종 / 용적 21종
의성군,경북,2026.4.17,3015,제43조 / 제51조,수집,건폐 21종 / 용적 21종
청송군,경북,2025.7.1,2402,제53조 / 제57조,수집,건폐 21종 / 용적 21종
영양군,경북,2025.12.19,2482,제56조 / 제61조,수집,건폐 21종 / 용적 21종
영덕군,경북,2025.12.22,2446,제57조 / 제62조,수집,건폐 21종 / 용적 21종
고령군,경북,2026.4.14,2593,제57조 / 제62조,수집,건폐 21종 / 용적 21종
성주군,경북,2026.9.17,2644,제49조 / 제54조,수집,건폐 21종 / 용적 21종
칠곡군,경북,2025.12.26,2839,제81조 / 제85조,수집,건폐 21종 / 용적 21종
예천군,경북,2025.12.24,2723,제53조 / 제61조,수집,건폐 21종 / 용적 21종
봉화군,경북,2025.12.15,3553,제30조 / 제33조,수집,건폐 21종 / 용적 21종
울진군,경북,2023.5.1,2631,제57조 / 제62조,수집,건폐 21종 / 용적 21종
울릉군,경북,2026.4.20,2248,제31조 / 제35조,수집,건폐 13종 / 용적 13종
진주시,경남,2026.5.4,2209,제51조 / 제58조,건폐율 별표 위임,건폐 0종 / 용적 21종
통영시,경남,2026.1.2,2028,제61조 / 제62조,수집,건폐 21종 / 용적 21종
사천시,경남,2026.7.2,2333,제45조 / 제49조,수집,건폐 21종 / 용적 21종
김해시,경남,2026.4.1,2265,제57조 / 제62조,수집,건폐 21종 / 용적 21종
밀양시,경남,2025.5.8,1807,제53조 / 제58조,수집,건폐 21종 / 용적 21종
거제시,경남,2026.4.9,2392,제57조 / 제62조,수집,건폐 21종 / 용적 21종
양산시,경남,2025.12.11,2293,제55조 / 제60조,수집,건폐 21종 / 용적 21종
의령군,경남,2026.3.25,2791,제37조 / 제42조,수집,건폐 21종 / 용적 21종
함안군,경남,2026.6.30,3034,제52조 / 제57조,수집,건폐 21종 / 용적 21종
창녕군,경남,2025.12.18,2914,제42조 / 제47조,수집,건폐 21종 / 용적 21종
청도군,경북,2026.9.16,2720,제54조제1항 / 제59조제1항,수집,건폐 21종 / 용적 21종
울산광역시,광역,2026.4.9,3264,제46조 [별표 24] / 제46조 [별표 24],수집,건폐 21종 / 용적 21종
창원시,경남,2026.2.13,2296,제58조 [별표 27] / 제60조 [별표 28],수집,건폐 21종 / 용적 21종
